pair_id,shape_a_name,shape_b_name,coupling_state,sample_position_mm,numerical_distance_tolerance_mm,intersection_volume_tolerance_mm3,required_clearance_mm,note,calculation_api,intersection_volume_mm3,intersection_solid_count,minimum_distance_mm,nearest_point_a_x,nearest_point_a_y,nearest_point_a_z,nearest_point_b_x,nearest_point_b_y,nearest_point_b_z,classification,result,error
CAD-0058,LEFT_COUPLING_SLEEVE_ENGAGED,RIGHT_PTO_STUB,ENGAGED,10.0,0.05,0.01,5.0,sleeve versus opposite rover stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,36.004999653,150.0,18.0,325.6,150.0,-18.0,325.0,CLEAR,PASS,
CAD-0059,LEFT_COUPLING_SLEEVE_ENGAGED,CENTRAL_UNIT_FRAME,ENGAGED,10.0,0.05,0.01,5.0,coupling versus central fixed structure,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,22.0,328.0,180.0,22.0,360.0,CLEAR,PASS,
CAD-0060,LEFT_COUPLING_SLEEVE_ENGAGED,CENTRAL_ALIGNMENT_GUIDE_LEFT,ENGAGED,10.0,0.05,0.01,5.0,coupling versus left alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,28.0,320.0,165.0,28.0,320.0,CLEAR,PASS,
CAD-0061,LEFT_COUPLING_SLEEVE_ENGAGED,CENTRAL_ALIGNMENT_GUIDE_RIGHT,ENGAGED,10.0,0.05,0.01,5.0,coupling versus right alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,25.495097568,160.0,18.0,320.0,165.0,-7.0,320.0,CLEAR,PASS,
CAD-0062,LEFT_COUPLING_SLEEVE_ENGAGED,CENTRAL_MECHANICAL_LOCK,ENGAGED,10.0,0.05,0.01,5.0,coupling versus mechanical lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.525446222,157.661915,18.0,326.426123,181.0,16.0,346.0,CLEAR,PASS,
CAD-0063,LEFT_COUPLING_SLEEVE_ENGAGED,LEFT_GUARD_FIXED,ENGAGED,10.0,0.05,0.01,5.0,coupling versus fixed guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,7.615773106,150.0,28.0,330.0,150.0,35.0,333.0,CLEAR,PASS,
CAD-0064,LEFT_COUPLING_SLEEVE_ENGAGED,WIRING_KEEP_OUT,ENGAGED,10.0,0.05,0.01,10.0,coupling versus protected wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,25.0,325.547002,180.0,25.0,340.0,CLEAR,PASS,
CAD-0065,LEFT_COUPLING_SLEEVE_ENGAGED,COUPLING_OPERATION_TOOL_ENVELOPE,ENGAGED,10.0,0.05,0.01,0.0,intentional tool access boundary; no positive clearance required,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,160.0,18.0,320.0,160.0,18.0,320.0,CONTACT,PASS,
CAD-0066,LEFT_COUPLING_SLEEVE_ENGAGED,UNIT_INSTALLATION_ENVELOPE,ENGAGED,10.0,0.05,0.01,5.0,front installation envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.0,320.0,165.0,18.0,320.0,CLEAR,PASS,
CAD-0067,LEFT_COUPLING_SLEEVE_ENGAGED,UNIT_REMOVAL_ENVELOPE,ENGAGED,10.0,0.05,0.01,5.0,front removal envelope,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,18.0,320.0,165.0,18.0,320.0,CLEAR,PASS,
CAD-0068,LEFT_COUPLING_SLEEVE_ENGAGED,LEFT_UNIT_INPUT_SUPPORT,ENGAGED,10.0,0.05,0.01,5.0,independent unit input support,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,15.0,160.0,18.0,320.0,175.0,18.0,320.0,CLEAR,PASS,
CAD-0069,LEFT_COUPLING_SLEEVE_ENGAGED,CENTRAL_FINGER_KEEP_OUT,ENGAGED,10.0,0.05,0.01,0.0,finger keep-out reference boundary,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,13.259406699,154.299336,23.0,329.028605,160.0,23.0,341.0,CLEAR,PASS,
CAD-0070,LEFT_PTO_STUB,LEFT_UNIT_INPUT_SHAFT,ENGAGED,10.0,0.05,0.01,0.0,independent axial interfaces meet at reference plane,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,0.0,150.0,18.0,325.0,150.0,18.0,325.0,CONTACT,PASS,
CAD-0071,RIGHT_COUPLING_SLEEVE_ENGAGED,LEFT_COUPLING_SLEEVE_ENGAGED,ENGAGED,10.0,0.05,0.01,5.0,left/right sleeves remain independent,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,36.0,150.0,-18.0,330.0,150.0,18.0,330.0,CLEAR,PASS,
CAD-0072,RIGHT_COUPLING_SLEEVE_ENGAGED,LEFT_PTO_STUB,ENGAGED,10.0,0.05,0.01,5.0,sleeve versus opposite rover stub,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,36.004999653,150.0,-18.0,325.6,150.0,18.0,325.0,CLEAR,PASS,
CAD-0073,RIGHT_COUPLING_SLEEVE_ENGAGED,CENTRAL_UNIT_FRAME,ENGAGED,10.0,0.05,0.01,5.0,coupling versus central fixed structure,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,40.0,156.0,-22.0,328.0,180.0,-22.0,360.0,CLEAR,PASS,
CAD-0074,RIGHT_COUPLING_SLEEVE_ENGAGED,CENTRAL_ALIGNMENT_GUIDE_LEFT,ENGAGED,10.0,0.05,0.01,5.0,coupling versus left alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,25.495097568,160.0,-18.0,320.0,165.0,7.0,320.0,CLEAR,PASS,
CAD-0075,RIGHT_COUPLING_SLEEVE_ENGAGED,CENTRAL_ALIGNMENT_GUIDE_RIGHT,ENGAGED,10.0,0.05,0.01,5.0,coupling versus right alignment guide,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,5.0,160.0,-18.0,320.0,165.0,-18.0,320.0,CLEAR,PASS,
CAD-0076,RIGHT_COUPLING_SLEEVE_ENGAGED,CENTRAL_MECHANICAL_LOCK,ENGAGED,10.0,0.05,0.01,5.0,coupling versus mechanical lock,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,30.525446222,157.661915,-18.0,326.426123,181.0,-16.0,346.0,CLEAR,PASS,
CAD-0077,RIGHT_COUPLING_SLEEVE_ENGAGED,RIGHT_GUARD_FIXED,ENGAGED,10.0,0.05,0.01,5.0,coupling versus fixed guard,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,7.615773106,150.0,-28.0,330.0,150.0,-35.0,333.0,CLEAR,PASS,
CAD-0078,RIGHT_COUPLING_SLEEVE_ENGAGED,WIRING_KEEP_OUT,ENGAGED,10.0,0.05,0.01,10.0,coupling versus protected wiring,CadQuery.Shape.intersect+Volume;OCP.BRepExtrema_DistShapeShape,0.0,0,26.055512755,158.320503,-25.0,325.547002,180.0,-25.0,340.0,CLEAR,PASS,
