candidate_id,search_stage,architecture,coupling_envelope,coupling_od_mm,coupling_body_length_mm,required_engagement_mm,sliding_stroke_mm,stub_length_mm,stack_outward_shift_each_mm,center_end_gap_mm,coupling_body_mutual_clearance_mm,engagement_margin_mm,total_width_mm,left_right_independent,direct_left_right_coupling,status,rejection_reason
S12-C1-SMALL-STUB17.5-SHIFT0-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,17.5,0.0,26.0,11.0,7.5,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB17.5-SHIFT2.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,17.5,2.5,31.0,16.0,7.5,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB17.5-SHIFT5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,17.5,5.0,36.0,21.0,7.5,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB17.5-SHIFT7.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,17.5,7.5,41.0,26.0,7.5,294.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB17.5-SHIFT10-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,17.5,10.0,46.0,31.0,7.5,299.0,True,False,WIDTH_MARGIN_CRITICAL,
S12-C1-SMALL-STUB17.5-SHIFT12.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,17.5,12.5,51.0,36.0,7.5,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB17.5-SHIFT15-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,17.5,15.0,56.0,41.0,7.5,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB20-SHIFT0-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,20.0,0.0,21.0,11.0,10.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB20-SHIFT2.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,20.0,2.5,26.0,16.0,10.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB20-SHIFT5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,20.0,5.0,31.0,21.0,10.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB20-SHIFT7.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,20.0,7.5,36.0,26.0,10.0,294.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB20-SHIFT10-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,20.0,10.0,41.0,31.0,10.0,299.0,True,False,WIDTH_MARGIN_CRITICAL,
S12-C1-SMALL-STUB20-SHIFT12.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,20.0,12.5,46.0,36.0,10.0,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB20-SHIFT15-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,20.0,15.0,51.0,41.0,10.0,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB25-SHIFT0-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,25.0,0.0,11.0,11.0,15.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB25-SHIFT2.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,25.0,2.5,16.0,16.0,15.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB25-SHIFT5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,25.0,5.0,21.0,21.0,15.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB25-SHIFT7.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,25.0,7.5,26.0,26.0,15.0,294.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB25-SHIFT10-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,25.0,10.0,31.0,31.0,15.0,299.0,True,False,WIDTH_MARGIN_CRITICAL,
S12-C1-SMALL-STUB25-SHIFT12.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,25.0,12.5,36.0,36.0,15.0,304.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB25-SHIFT15-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,25.0,15.0,41.0,41.0,15.0,309.0,True,False,FAIL_GEOMETRY,CENTER_GAP_ENGAGEMENT_OR_WIDTH
S12-C1-SMALL-STUB30-SHIFT0-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,30.0,0.0,1.0,11.0,20.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB30-SHIFT2.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,30.0,2.5,6.0,16.0,20.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB30-SHIFT5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,30.0,5.0,11.0,21.0,20.0,290.0,True,False,CONDITIONAL_PASS,
S12-C1-SMALL-STUB30-SHIFT7.5-RES2,12,C1,COUPLING_SMALL,20.0,25.0,8.0,10.0,30.0,7.5,16.0,26.0,20.0,294.0,True,False,CONDITIONAL_PASS,
