candidate_id,coupling_envelope,stub_length_mm,required_engagement_mm,axial_geometry_reserve_mm,engagement_margin_mm,status
COUPLING_MEDIUM-STUB15-RES1,COUPLING_MEDIUM,15.0,12.0,1.0,2.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB15-RES2,COUPLING_MEDIUM,15.0,12.0,2.0,1.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB15-RES3,COUPLING_MEDIUM,15.0,12.0,3.0,0.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB15-RES5,COUPLING_MEDIUM,15.0,12.0,5.0,-2.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB15-RES0,COUPLING_LARGE,15.0,18.0,0.0,-3.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB15-RES1,COUPLING_LARGE,15.0,18.0,1.0,-4.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB15-RES2,COUPLING_LARGE,15.0,18.0,2.0,-5.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB15-RES3,COUPLING_LARGE,15.0,18.0,3.0,-6.0,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB15-RES5,COUPLING_LARGE,15.0,18.0,5.0,-8.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB15-RES0,COUPLING_XL,15.0,25.0,0.0,-10.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB15-RES1,COUPLING_XL,15.0,25.0,1.0,-11.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB15-RES2,COUPLING_XL,15.0,25.0,2.0,-12.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB15-RES3,COUPLING_XL,15.0,25.0,3.0,-13.0,FAIL_ENGAGEMENT
COUPLING_XL-STUB15-RES5,COUPLING_XL,15.0,25.0,5.0,-15.0,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB17.5-RES0,COUPLING_SMALL,17.5,8.0,0.0,9.5,PASS_GEOMETRIC
COUPLING_SMALL-STUB17.5-RES1,COUPLING_SMALL,17.5,8.0,1.0,8.5,PASS_GEOMETRIC
COUPLING_SMALL-STUB17.5-RES2,COUPLING_SMALL,17.5,8.0,2.0,7.5,PASS_GEOMETRIC
COUPLING_SMALL-STUB17.5-RES3,COUPLING_SMALL,17.5,8.0,3.0,6.5,PASS_GEOMETRIC
COUPLING_SMALL-STUB17.5-RES5,COUPLING_SMALL,17.5,8.0,5.0,4.5,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB17.5-RES0,COUPLING_MEDIUM,17.5,12.0,0.0,5.5,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB17.5-RES1,COUPLING_MEDIUM,17.5,12.0,1.0,4.5,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB17.5-RES2,COUPLING_MEDIUM,17.5,12.0,2.0,3.5,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB17.5-RES3,COUPLING_MEDIUM,17.5,12.0,3.0,2.5,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB17.5-RES5,COUPLING_MEDIUM,17.5,12.0,5.0,0.5,PASS_GEOMETRIC
COUPLING_LARGE-STUB17.5-RES0,COUPLING_LARGE,17.5,18.0,0.0,-0.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB17.5-RES1,COUPLING_LARGE,17.5,18.0,1.0,-1.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB17.5-RES2,COUPLING_LARGE,17.5,18.0,2.0,-2.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB17.5-RES3,COUPLING_LARGE,17.5,18.0,3.0,-3.5,FAIL_ENGAGEMENT
COUPLING_LARGE-STUB17.5-RES5,COUPLING_LARGE,17.5,18.0,5.0,-5.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB17.5-RES0,COUPLING_XL,17.5,25.0,0.0,-7.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB17.5-RES1,COUPLING_XL,17.5,25.0,1.0,-8.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB17.5-RES2,COUPLING_XL,17.5,25.0,2.0,-9.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB17.5-RES3,COUPLING_XL,17.5,25.0,3.0,-10.5,FAIL_ENGAGEMENT
COUPLING_XL-STUB17.5-RES5,COUPLING_XL,17.5,25.0,5.0,-12.5,FAIL_ENGAGEMENT
COUPLING_SMALL-STUB20-RES0,COUPLING_SMALL,20.0,8.0,0.0,12.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB20-RES1,COUPLING_SMALL,20.0,8.0,1.0,11.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB20-RES2,COUPLING_SMALL,20.0,8.0,2.0,10.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB20-RES3,COUPLING_SMALL,20.0,8.0,3.0,9.0,PASS_GEOMETRIC
COUPLING_SMALL-STUB20-RES5,COUPLING_SMALL,20.0,8.0,5.0,7.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB20-RES0,COUPLING_MEDIUM,20.0,12.0,0.0,8.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB20-RES1,COUPLING_MEDIUM,20.0,12.0,1.0,7.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB20-RES2,COUPLING_MEDIUM,20.0,12.0,2.0,6.0,PASS_GEOMETRIC
COUPLING_MEDIUM-STUB20-RES3,COUPLING_MEDIUM,20.0,12.0,3.0,5.0,PASS_GEOMETRIC
