part_id,filename,material,mode,orientation,old_bbox_x,old_bbox_y,old_bbox_z,new_bbox_x,new_bbox_y,new_bbox_z,height_reduction_mm,fits_safe_area,selection_policy,pack_safe_mm,support_fit_safe_mm,min_candidate_z,z_window_mm,bottom_contact_area_mm2,bottom_contact_fraction,source_stl
PS-RV228-SIDE-MOTOR-POD-MOUNT-L,PS-RV228-SIDE-MOTOR-POD-MOUNT-L.stl,RIGID,auto-flat,AXIS24_00,52.0,72.0,46.0,52.0,72.0,46.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,46.0,11.5,3744.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-SIDE-MOTOR-POD-MOUNT-L.stl
PS-RV228-SIDE-MOTOR-POD-MOUNT-R,PS-RV228-SIDE-MOTOR-POD-MOUNT-R.stl,RIGID,auto-flat,AXIS24_00,52.0,72.0,46.0,52.0,72.0,46.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,46.0,11.5,3744.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-SIDE-MOTOR-POD-MOUNT-R.stl
PS-RV228-FRONT-PTO-HIGH-MOUNT-S,PS-RV228-FRONT-PTO-HIGH-MOUNT-S.stl,RIGID,auto-flat,AXIS24_00,88.0,56.0,52.0,88.0,57.0,52.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,52.0,13.0,4928.0,0.9825,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-FRONT-PTO-HIGH-MOUNT-S.stl
PS-RV228-FRONT-PTO-FLOAT-MOUNT-S,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S.stl,RIGID,auto-flat,AXIS24_00,54.0,34.0,18.0,54.0,34.0,23.0,-5.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,23.0,10.0,1836.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-FRONT-PTO-FLOAT-MOUNT-S.stl
PS-RV228-FRONT-PTO-FLOAT-MOUNT-S,PS-RV228-FRONT-PTO-FLOAT-MOUNT-S.stl,RIGID,auto-flat,AXIS24_00,54.0,34.0,18.0,54.0,34.0,23.0,-5.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,23.0,10.0,1836.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV228-FRONT-PTO-FLOAT-MOUNT-S.stl
PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_01,38.0,46.0,26.0,38.0,46.0,26.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,26.0,10.0,1748.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-MCR-CLAMP-S.stl
PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_01,38.0,46.0,26.0,38.0,46.0,26.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,26.0,10.0,1748.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-MCR-CLAMP-S.stl
PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_01,38.0,46.0,26.0,38.0,46.0,26.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,26.0,10.0,1748.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-MCR-CLAMP-S.stl
PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_01,38.0,46.0,26.0,38.0,46.0,26.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,26.0,10.0,1748.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-MCR-CLAMP-S.stl
PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_01,38.0,46.0,26.0,38.0,46.0,26.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,26.0,10.0,1748.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-MCR-CLAMP-S.stl
PS-RV2273G1-MCR-CLAMP-S,PS-RV2273G1-MCR-CLAMP-S.stl,RIGID,auto-flat,AXIS24_01,38.0,46.0,26.0,38.0,46.0,26.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,26.0,10.0,1748.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-MCR-CLAMP-S.stl
PS-RV2273G1-RCP-DOGHOUSE-G3,PS-RV2273G1-RCP-DOGHOUSE-G3.stl,RIGID,auto-flat,AXIS24_00,116.0,92.0,82.0,116.0,92.0,60.34,21.66,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,60.34,15.085,10672.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-RCP-DOGHOUSE-G3.stl
PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,RIGID,auto-flat,AXIS24_00,52.0,20.0,10.0,52.0,20.0,10.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,10.0,10.0,1040.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl
PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,RIGID,auto-flat,AXIS24_00,52.0,20.0,10.0,52.0,20.0,10.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,10.0,10.0,1040.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl
PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,RIGID,auto-flat,AXIS24_00,52.0,20.0,10.0,52.0,20.0,10.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,10.0,10.0,1040.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl
PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S,PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl,RIGID,auto-flat,AXIS24_00,52.0,20.0,10.0,52.0,20.0,10.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,10.0,10.0,1040.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-WATER-SENSOR-SADDLE-S.stl
PS-RV2273G1-INT-PCB-SHELF-S,PS-RV2273G1-INT-PCB-SHELF-S.stl,RIGID,auto-flat,AXIS24_00,138.0,92.0,16.0,138.0,92.0,16.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,16.0,10.0,12696.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-PCB-SHELF-S.stl
PS-RV2273G1-INT-PCB-SHELF-S,PS-RV2273G1-INT-PCB-SHELF-S.stl,RIGID,auto-flat,AXIS24_00,138.0,92.0,16.0,138.0,92.0,16.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,16.0,10.0,12696.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-PCB-SHELF-S.stl
PS-RV2273G1-INT-BAT-BAG-RAIL-S,PS-RV2273G1-INT-BAT-BAG-RAIL-S.stl,RIGID,auto-flat,AXIS24_00,142.0,20.0,14.0,142.0,20.0,13.0,1.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,13.0,10.0,2840.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-BAT-BAG-RAIL-S.stl
PS-RV2273G1-INT-BAT-BAG-RAIL-S,PS-RV2273G1-INT-BAT-BAG-RAIL-S.stl,RIGID,auto-flat,AXIS24_00,142.0,20.0,14.0,142.0,20.0,13.0,1.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,13.0,10.0,2840.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-BAT-BAG-RAIL-S.stl
PS-RV2273G1-INT-FUSE-RELAY-TRAY,PS-RV2273G1-INT-FUSE-RELAY-TRAY.stl,RIGID,auto-flat,AXIS24_00,130.0,76.0,14.0,130.0,76.0,13.0,1.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,13.0,10.0,9880.0,1.0,rover_v228_2_dual_pto_output_fix_out\stl\PS-RV2273G1-INT-FUSE-RELAY-TRAY.stl
REF-METAL-COUPLER-PIN-SET,REF-METAL-COUPLER-PIN-SET.stl,RIGID,auto-flat,AXIS24_12,5.0,4.998,32.0,4.998,32.0,5.0,27.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,4.998,10.0,83.43,0.5216,rover_v228_2_dual_pto_output_fix_out\reference_metal_stl\REF-METAL-COUPLER-PIN-SET.stl
REF-METAL-FRONT-AXLE-ROD,REF-METAL-FRONT-AXLE-ROD.stl,RIGID,auto-flat,AXIS24_00,210.0,5.998,6.0,210.0,5.998,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,5.998,10.0,602.6,0.4784,rover_v228_2_dual_pto_output_fix_out\reference_metal_stl\REF-METAL-FRONT-AXLE-ROD.stl
REF-METAL-FRONT-PTO-LEFT-SHAFT,REF-METAL-FRONT-PTO-LEFT-SHAFT.stl,RIGID,auto-flat,AXIS24_00,5.998,74.0,6.0,5.998,74.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,5.998,10.0,212.345,0.4784,rover_v228_2_dual_pto_output_fix_out\reference_metal_stl\REF-METAL-FRONT-PTO-LEFT-SHAFT.stl
REF-METAL-FRONT-PTO-RIGHT-SHAFT,REF-METAL-FRONT-PTO-RIGHT-SHAFT.stl,RIGID,auto-flat,AXIS24_00,5.998,74.0,6.0,5.998,74.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,5.998,10.0,212.345,0.4784,rover_v228_2_dual_pto_output_fix_out\reference_metal_stl\REF-METAL-FRONT-PTO-RIGHT-SHAFT.stl
REF-METAL-LEFT-DRIVE-SHAFT,REF-METAL-LEFT-DRIVE-SHAFT.stl,RIGID,auto-flat,AXIS24_00,5.998,185.0,6.0,5.998,185.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,5.998,10.0,530.862,0.4784,rover_v228_2_dual_pto_output_fix_out\reference_metal_stl\REF-METAL-LEFT-DRIVE-SHAFT.stl
REF-METAL-REAR-AXLE-ROD,REF-METAL-REAR-AXLE-ROD.stl,RIGID,auto-flat,AXIS24_00,210.0,5.998,6.0,210.0,5.998,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,5.998,10.0,602.6,0.4784,rover_v228_2_dual_pto_output_fix_out\reference_metal_stl\REF-METAL-REAR-AXLE-ROD.stl
REF-METAL-RIGHT-DRIVE-SHAFT,REF-METAL-RIGHT-DRIVE-SHAFT.stl,RIGID,auto-flat,AXIS24_00,5.998,185.0,6.0,5.998,185.0,6.0,0.0,True,v5.4_wider_fit_low_z_then_contact,240.0,244.0,5.998,10.0,530.862,0.4784,rover_v228_2_dual_pto_output_fix_out\reference_metal_stl\REF-METAL-RIGHT-DRIVE-SHAFT.stl
