candidate_id,shape_group,environment,intersection_volume_mm3,collision,authorization,hard_constraint_effect,calculation
C_LATERAL_FORE_AFT_STAGGERED,removal,DRAINAGE_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_motor,CBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_motor,BBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_motor,FRAME,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_motor,TRACKS,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_motor,BATTERY_EXTRACTION_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_motor,UNIT_MATING_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_motor,DRAINAGE_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_power,CBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_power,BBOX,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_power,FRAME,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_power,TRACKS,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_power,BATTERY_EXTRACTION_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
D_LONGITUDINAL_SIDE_RAIL,fixed_power,UNIT_MATING_KEEP_OUT,0.0,NO,NONE,PASS,CADQUERY_ACTUAL_SHAPE_COMMON_VOLUME
